relation_id,source_interface_id,source_interface_en,relation_type,target_interface_id,target_interface_en,relation_name_ko,confidence,derived_from_relation_id,derived_from,official,description_ko,note
SR-066,IF-051,Target Priority,PRIORITIZES_TARGET_TYPE,IF-040,Target Type,우선순위 대상 표적 유형,높음,IR-066,LINK,false,어떤 표적 유형을 우선할지 나타낸다.,Target Priority는 Target Type 1을 대상으로 함
SR-067,IF-058,Collateral Concern Guidance,APPLIES_TO_TARGETING_AREA,IF-056,Targeting Area,적용 구역,높음,IR-067,LINK,false,이 지침을 어느 구역에 적용할지 나타낸다.,부수피해 지침 적용 구역
SR-068,IF-059,Targeting Operation,USES_COLLATERAL_GUIDANCE,IF-058,Collateral Concern Guidance,부수피해 지침 사용,높음,IR-068,LINK,false,이 표적화 작전에서 사용할 부수피해 지침을 나타낸다.,표적화 작전에 적용되는 guidance
SR-069,IF-042,Target,TARGETS_ENTITY,IF-041,Targetable Entity,표적화 대상 실체,높음,IR-069,LINK,false,어떤 실제 대상을 어떤 표적화 과업이 다루는지 나타낸다.,Target 1건이 특정 Targetable Entity를 대상으로 함
SR-070,IF-041,Targetable Entity,HAS_TARGET_TYPE,IF-040,Target Type,표적 유형,높음,IR-070,LINK,false,실제 대상을 전차·시설 등 표적 유형으로 분류한다.,실체의 Target Type 분류
SR-071,IF-055,Target Selection Standard,APPLIES_TO_TARGET_TYPE,IF-040,Target Type,선정 기준 적용 표적 유형,높음,IR-071,LINK,false,이 표적 유형에 어떤 선정 기준을 적용할지 나타낸다.,Standard가 Target Type 1에 적용
SR-072,IF-059,Targeting Operation,INCLUDES_TARGET,IF-042,Target,표적화 과업 포함,높음,IR-072,LINK,false,"Targeting Operation이 관리·포함하는 Target 과업들을 나타낸다. ""작전을 여러 과업으로 나눈다""는 표현보다 포함 관계가 정확하다.","상세 정의상 Target 1..N을 포함. ""작전을 나눈다""보다 포함/관리로 표현하는 것이 정확"
SR-073,IF-059,Targeting Operation,USES_HIGH_PAYOFF_TARGET_LIST,IF-050,"High Payoff Target List, HPTL",고효용 표적 목록 사용,높음,IR-073,LINK,false,이 작전에서 우선 관리할 고효용 표적 목록을 나타낸다.,작전별 HPTL 연결
SR-074,IF-059,Targeting Operation,USES_ATTACK_GUIDANCE_MATRIX,IF-052,Attack Guidance Matrix,공격지침 매트릭스 사용,높음,IR-074,LINK,false,이 작전에서 사용할 공격지침 묶음을 나타낸다.,작전별 Attack Guidance Matrix 연결
SR-075,IF-059,Targeting Operation,USES_TARGET_SELECTION_STANDARD_MATRIX,IF-054,Target Selection Standard Matrix,표적 선정 기준 매트릭스 사용,높음,IR-075,LINK,false,이 작전에서 사용할 표적 선정 기준 묶음을 나타낸다.,작전별 Selection Standard Matrix 연결
SR-076,IF-059,Targeting Operation,USES_TARGET_ENGAGEMENT_AUTHORITY,IF-057,Target Engagement Authority,교전 권한 적용,높음,IR-076,LINK,false,Targeting Operation에 적용되는 Target Engagement Authority를 연결한다. 실제 승인 주체는 authority의 Owning Unit 등으로 별도 표현된다.,"""누가 승인""보다 해당 작전에 적용되는 authority 객체와의 연결로 표현"
SR-077,IF-059,Targeting Operation,COVERS_TARGETING_AREA,IF-056,Targeting Area,표적화 구역 포함,높음,IR-077,LINK,false,이 작전이 어느 구역에서 수행되는지 나타낸다.,작전이 다루는 Targeting Area 1..N
SR-078,IF-055,Target Selection Standard,APPLIES_TO_TARGETING_AREA,IF-056,Targeting Area,선정 기준 적용 구역,높음,IR-078,LINK,false,이 구역에서 사용할 표적 선정 기준을 나타낸다.,Standard의 선택적 Targeting Area
SR-079,IF-057,Target Engagement Authority,APPLIES_TO_TARGETING_AREA,IF-056,Targeting Area,교전 권한 적용 구역,높음,IR-079,LINK,false,Target Engagement Authority가 적용되는 Targeting Area를 연결한다. 승인 주체 자체는 Unit 관계에서 표현된다.,"""누가 승인""보다 권한 객체가 적용되는 구역으로 표현"
SR-080,IF-060,Target Effect Solution,HAS_EFFECTOR_EMPLOYMENT,IF-061,Effector Employment,효과수단 운용 포함,높음,IR-080,LINK,false,Target Effect Solution을 구성하는 Effector Employment를 연결한다. 즉 효과 방안과 그 방안을 실현하는 개별 효과수단 운용의 구성 관계다.,Solution을 구성하는 개별 Effector Employment
SR-081,IF-054,Target Selection Standard Matrix,CONTAINS_SELECTION_STANDARD,IF-055,Target Selection Standard,선정 기준 포함,높음,IR-081,LINK,false,여러 표적 선정 기준을 하나의 매트릭스로 묶는다.,Matrix가 Standard 1..N을 묶음
SR-082,IF-042,Target,HAS_EFFECT_SOLUTION,IF-060,Target Effect Solution,효과 달성 방안,높음,IR-082,LINK,false,Target에 대해 제안되거나 선택된 Target Effect Solution을 연결한다. 상세 구조상 여러 후보 방안과 선택된 1개 방안을 구분할 수 있다.,상세 정의상 후보 방안 여러 개와 선택 방안 1개가 가능. 실제 구현은 PROPOSES_EFFECT_SOLUTION / SELECTS_EFFECT_SOLUTION 분리 권장
