interface_id,name_en,name_ko,domain_id,role_ko,property_source_status,source_url
IF-022,Organization Hierarchy Node Relationship Type,조직 계층 관계 유형,DOM-ORDER-OF-BATTLE,조직 간 관계의 성격을 분류,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/orderOfBattle/interfaceTypes/com-palantir-ontology-defense-types-organizationHierarchyNodeRelationshipType
IF-023,Organization Hierarchy,조직 계층,DOM-ORDER-OF-BATTLE,특정 기간에 유효한 조직 관계들의 명명된 집합,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/orderOfBattle/interfaceTypes/com-palantir-ontology-defense-types-organizationHierarchy
IF-024,Unit,부대,DOM-ORDER-OF-BATTLE,군사 편제상의 부대를 표현하는 Organization의 특화 구조,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/orderOfBattle/interfaceTypes/com-palantir-ontology-defense-types-unit
IF-025,Unit Hierarchy Node Relationship,부대 계층 노드 관계,DOM-ORDER-OF-BATTLE,특정 부대 계층 안의 부모·자식 부대 관계를 나타내는 중간 관계 객체,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/orderOfBattle/interfaceTypes/com-palantir-ontology-defense-types-unitHierarchyNodeRelationship
IF-026,Unit Hierarchy Node Relationship Type,부대 계층 관계 유형,DOM-ORDER-OF-BATTLE,부대 간 지휘·편제 관계의 유형을 정의,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/orderOfBattle/interfaceTypes/com-palantir-ontology-defense-types-unitHierarchyNodeRelationshipType
IF-027,Unit Hierarchy,부대 계층,DOM-ORDER-OF-BATTLE,부대만 포함하도록 제한된 편제·지휘 관계 집합 Organization Hierarchy와 구분하여 정의,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/orderOfBattle/interfaceTypes/com-palantir-ontology-defense-types-unitHierarchy
IF-028,Unit Type,부대 유형,DOM-ORDER-OF-BATTLE,보병·포병·특수작전부대 등 부대의 유형,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/orderOfBattle/interfaceTypes/com-palantir-ontology-defense-types-unitType
IF-029,Materiel Type,물자 유형,DOM-ORDER-OF-BATTLE,장비·탄약 등 군수물자의 유형 또는 범주,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/orderOfBattle/interfaceTypes/com-palantir-ontology-defense-types-materielType
IF-030,Ammunition Type,탄약 유형,DOM-ORDER-OF-BATTLE,탄약의 종류를 표현하는 물자 유형,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/orderOfBattle/interfaceTypes/com-palantir-ontology-defense-types-ammunitionType
IF-031,Equipment Type,장비 유형,DOM-ORDER-OF-BATTLE,차량·무기체계 등 장비의 종류를 표현,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/orderOfBattle/interfaceTypes/com-palantir-ontology-defense-types-equipmentType
IF-032,Facility,시설,DOM-ORDER-OF-BATTLE,우군·적군의 고정 군사시설을 표현,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/orderOfBattle/interfaceTypes/com-palantir-ontology-defense-types-facility
IF-033,Materiel Change Event,물자 변경 이벤트,DOM-SUSTAINMENT,특정 조직이 보유한 물자 수량이 증가하거나 감소한 사건,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/sustainment/interfaceTypes/com-palantir-ontology-defense-types-materielChangeEvent
IF-034,Materiel Status Event,물자 상태 이벤트,DOM-SUSTAINMENT,특정 시점의 조직별 물자 수량과 상태를 기록한 스냅샷,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/sustainment/interfaceTypes/com-palantir-ontology-defense-types-materielStatusEvent
IF-035,Materiel Requirement,물자 요구,DOM-SUSTAINMENT,특정 조직이 필요로 하는 물자와 수량을 표현,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/sustainment/interfaceTypes/com-palantir-ontology-defense-types-materielRequirement
IF-036,Collateral Concern List,부수피해 우려 목록,DOM-TARGETING-FIRES,표적 개발 과정에서 참조할 부수피해 우려 대상을 묶은 목록,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/targetingFires/interfaceTypes/com-palantir-ontology-defense-types-collateralConcernList
IF-037,Collateral Concern Candidate,부수피해 우려 후보,DOM-TARGETING-FIRES,민간인·시설·환경 등 부수피해 우려 대상으로 식별될 수 있는 실체의 공통 구조,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/targetingFires/interfaceTypes/com-palantir-ontology-defense-types-collateralConcernCandidate
IF-038,Point-Based Collateral Concern Candidate,점 기반 부수피해 우려 후보,DOM-TARGETING-FIRES,하나의 지리적 좌표로 표현되는 부수피해 우려 대상,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/targetingFires/interfaceTypes/com-palantir-ontology-defense-types-collateralConcernCandidatePoint
IF-039,Geometry-Based Collateral Concern Candidate,도형 기반 부수피해 우려 후보,DOM-TARGETING-FIRES,점이 아닌 영역·선·도형으로 표현되는 부수피해 우려 대상,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/targetingFires/interfaceTypes/com-palantir-ontology-defense-types-collateralConcernCandidateWithGeometry
IF-040,Target Type,표적 유형,DOM-TARGETING-FIRES,장비·건물·조직 등 전략적 자산의 유형을 분류,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/targetingFires/interfaceTypes/com-palantir-ontology-defense-types-targetType
IF-041,Targetable Entity,표적화 가능 실체,DOM-TARGETING-FIRES,군사적 의미가 있는 실제 물리적 자산 또는 실체,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/targetingFires/interfaceTypes/com-palantir-ontology-defense-types-targetableEntity
IF-042,Target,표적화 과업,DOM-TARGETING-FIRES,특정 실체에 효과를 가하려는 하나의 표적화 시도 또는 과업,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/targetingFires/interfaceTypes/com-palantir-ontology-defense-types-target
IF-043,Change Assessment,변화 평가,DOM-TARGETING-FIRES,군사력 적용 전후 표적에서 발생한 측정 가능한 변화를 평가,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/targetingFires/interfaceTypes/com-palantir-ontology-defense-types-changeAssessment
IF-044,Functional Assessment,기능 평가,DOM-TARGETING-FIRES,표적의 기능·운용 능력이 얼마나 저하 또는 파괴됐는지 평가,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/targetingFires/interfaceTypes/com-palantir-ontology-defense-types-functionalAssessment
IF-045,Collateral Damage Assessment,부수피해 평가,DOM-TARGETING-FIRES,민간인·민간시설·환경에 발생한 의도하지 않은 피해를 평가,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/targetingFires/interfaceTypes/com-palantir-ontology-defense-types-collateralDamageAssessment
IF-046,Munition Effectiveness Assessment,탄약 효과 평가,DOM-TARGETING-FIRES,사용된 무장이 표적에 적중하고 의도한 효과를 냈는지 평가,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/targetingFires/interfaceTypes/com-palantir-ontology-defense-types-munitionEffectivenessAssessment
IF-047,Serviced Assessment,표적 조치 여부 평가,DOM-TARGETING-FIRES,해당 표적에 효과를 가하려는 시도가 실제로 이루어졌는지 평가,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/targetingFires/interfaceTypes/com-palantir-ontology-defense-types-targetAssessment
IF-048,Engagement,교전,DOM-TARGETING-FIRES,승인된 표적에 대해 실행하도록 할당된 구체적 행동,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/targetingFires/interfaceTypes/com-palantir-ontology-defense-types-engagement
IF-049,"Fire Support Coordination Measure, FSCM",화력지원협조수단,DOM-TARGETING-FIRES,화력 적용을 허용·제한·조정하기 위한 시간·공간적 통제수단,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/targetingFires/interfaceTypes/com-palantir-ontology-defense-types-fireSupportCoordinationMeasure
IF-050,"High Payoff Target List, HPTL",고효용 표적 목록,DOM-TARGETING-FIRES,작전에서 우선적으로 다룰 표적 유형의 우선순위 집합,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/targetingFires/interfaceTypes/com-palantir-ontology-defense-types-highPayoffTargetList
IF-051,Target Priority,표적 우선순위,DOM-TARGETING-FIRES,특정 표적 유형을 교전할 상대적 우선순위,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/targetingFires/interfaceTypes/com-palantir-ontology-defense-types-targetPriority
IF-052,Attack Guidance Matrix,공격지침 매트릭스,DOM-TARGETING-FIRES,하나의 작전에 적용할 공격지침들의 집합,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/targetingFires/interfaceTypes/com-palantir-ontology-defense-types-attackGuidanceMatrix
IF-053,Attack Guidance,공격지침,DOM-TARGETING-FIRES,표적 유형별 우선 효과와 승인된 공격 방법을 정의,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/targetingFires/interfaceTypes/com-palantir-ontology-defense-types-attackGuidance
IF-054,Target Selection Standard Matrix,표적 선정 기준 매트릭스,DOM-TARGETING-FIRES,하나의 작전에 적용되는 표적 선정 기준들의 집합,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/targetingFires/interfaceTypes/com-palantir-ontology-defense-types-targetSelectionStandardMatrix
IF-055,Target Selection Standard,표적 선정 기준,DOM-TARGETING-FIRES,특정 표적 유형을 교전하기 전에 충족해야 할 정확도·최신성·이동성 기준,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/targetingFires/interfaceTypes/com-palantir-ontology-defense-types-targetSelectionStandard
IF-056,Targeting Area,표적화 구역,DOM-TARGETING-FIRES,표적화 책임을 관리·위임하기 위해 구분한 공간 영역,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/targetingFires/interfaceTypes/com-palantir-ontology-defense-types-targetingArea
IF-057,Target Engagement Authority,표적 교전 권한,DOM-TARGETING-FIRES,특정 구역이나 작전에서 표적 교전을 승인할 권한과 책임을 표현,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/targetingFires/interfaceTypes/com-palantir-ontology-defense-types-targetEngagementAuthority
IF-058,Collateral Concern Guidance,부수피해 우려 지침,DOM-TARGETING-FIRES,부수피해 우려 대상을 표적화 과정에서 처리하는 기준과 지침,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/targetingFires/interfaceTypes/com-palantir-ontology-defense-types-collateralConcernGuidance
IF-059,Targeting Operation,표적화 작전,DOM-TARGETING-FIRES,표적 우선순위·선정기준·공격지침을 제공하는 상위 작전 구조,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/targetingFires/interfaceTypes/com-palantir-ontology-defense-types-targetingOperation
IF-060,Target Effect Solution,표적 효과 방안,DOM-TARGETING-FIRES,특정 Target에 원하는 효과를 가하기 위한 수단과 실행방안의 조합,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/targetingFires/interfaceTypes/com-palantir-ontology-defense-types-targetEffectSolution
IF-061,Effector Employment,효과수단 운용,DOM-TARGETING-FIRES,표적 효과 방안을 구성하는 개별 효과수단의 운용 계획,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/targetingFires/interfaceTypes/com-palantir-ontology-defense-types-effectorEmployment
IF-062,Aimpoint Weapon Employment,조준점 기반 무장 운용,DOM-TARGETING-FIRES,특정 무장을 표적의 단일 지리적 조준점에 적용하는 계획,BE wiki 확인,https://www.palantir.com/docs/defense-osdk/api/targetingFires/interfaceTypes/com-palantir-ontology-defense-types-aimpointWeaponEmployment
IF-PB-001,Geotemporal Observation,시공간 관측,DOM-PLATFORM-BASE,Defense Geotemporal Observation이 확장하는 범용 플랫폼 기반 인터페이스.,BE wiki 상세 속성 미수록,
IF-PB-002,Tracked Entity,추적 객체,DOM-PLATFORM-BASE,Defense Tracked Entity가 확장하는 범용 플랫폼 기반 인터페이스.,BE wiki 상세 속성 미수록,
