relation_id,source_interface_id,source_interface_en,relation_type,target_interface_id,target_interface_en,directionality,description_ko,official,source_basis
IR-047,IF-024,Unit,LINK,IF-057,Target Engagement Authority,conceptually_undirected,Target Engagement Authority의 소유 부대(Owning Unit)를 나타낸다. 특정 개별 Target의 교전 권한이라고 한정하는 설명은 부정확하다.,true,Defense OSDK public relationship
IR-048,IF-029,Materiel Type,LINK,IF-033,Materiel Change Event,conceptually_undirected,어떤 물자의 수량·상태가 바뀌었는지 나타낸다.,true,Defense OSDK public relationship
IR-049,IF-029,Materiel Type,LINK,IF-034,Materiel Status Event,conceptually_undirected,어떤 물자의 현재 상태인지 나타낸다.,true,Defense OSDK public relationship
IR-050,IF-039,Geometry-Based Collateral Concern Candidate,EXTENDS_TO,IF-037,Collateral Concern Candidate,directed_child_to_parent,도형 기반 부수피해 우려 후보는 부수피해 우려 후보의 세부 유형이다.,true,Defense OSDK public relationship
IR-051,IF-038,Point-Based Collateral Concern Candidate,EXTENDS_TO,IF-037,Collateral Concern Candidate,directed_child_to_parent,점 기반 부수피해 우려 후보는 부수피해 우려 후보의 세부 유형이다.,true,Defense OSDK public relationship
IR-052,IF-062,Aimpoint Weapon Employment,EXTENDS_TO,IF-061,Effector Employment,directed_child_to_parent,조준점 기반 무장 운용은 효과수단 운용의 세부 유형이다.,true,Defense OSDK public relationship
IR-053,IF-048,Engagement,LINK,IF-042,Target,conceptually_undirected,어떤 표적화 과업을 실제 교전으로 수행했는지 나타낸다.,true,Defense OSDK public relationship
IR-054,IF-048,Engagement,LINK,IF-043,Change Assessment,conceptually_undirected,교전 뒤 표적이 얼마나 변했는지 평가한 결과를 붙인다.,true,Defense OSDK public relationship
IR-055,IF-048,Engagement,LINK,IF-044,Functional Assessment,conceptually_undirected,교전 뒤 표적 기능이 얼마나 남았는지 평가한 결과를 붙인다.,true,Defense OSDK public relationship
IR-056,IF-048,Engagement,LINK,IF-045,Collateral Damage Assessment,conceptually_undirected,교전으로 발생한 부수피해 평가 결과를 붙인다.,true,Defense OSDK public relationship
IR-057,IF-048,Engagement,LINK,IF-046,Munition Effectiveness Assessment,conceptually_undirected,사용한 탄약이 얼마나 효과적이었는지 평가한 결과를 붙인다.,true,Defense OSDK public relationship
IR-058,IF-048,Engagement,LINK,IF-047,Serviced Assessment,conceptually_undirected,표적에 필요한 조치가 끝났는지 평가한 결과를 붙인다.,true,Defense OSDK public relationship
IR-059,IF-053,Attack Guidance,LINK,IF-052,Attack Guidance Matrix,conceptually_undirected,여러 공격지침을 하나의 매트릭스로 묶는다.,true,Defense OSDK public relationship
IR-060,IF-053,Attack Guidance,LINK,IF-056,Targeting Area,conceptually_undirected,이 공격지침을 어느 구역에 적용할지 나타낸다.,true,Defense OSDK public relationship
IR-061,IF-053,Attack Guidance,LINK,IF-040,Target Type,conceptually_undirected,이 공격지침을 어떤 표적에 적용할지 나타낸다.,true,Defense OSDK public relationship
IR-062,IF-036,Collateral Concern List,LINK,IF-037,Collateral Concern Candidate,conceptually_undirected,부수피해가 우려되는 후보를 하나의 목록으로 묶는다.,true,Defense OSDK public relationship
IR-063,IF-036,Collateral Concern List,LINK,IF-058,Collateral Concern Guidance,conceptually_undirected,이 목록을 검토할 때 사용할 지침을 나타낸다.,true,Defense OSDK public relationship
IR-064,IF-051,Target Priority,LINK,IF-050,"High Payoff Target List, HPTL",conceptually_undirected,High Payoff Target List가 표적 유형별 Target Priority 항목을 포함하는 관계를 나타낸다.,true,Defense OSDK public relationship
IR-065,IF-051,Target Priority,LINK,IF-056,Targeting Area,conceptually_undirected,이 우선순위를 어느 구역에 적용할지 나타낸다.,true,Defense OSDK public relationship
IR-066,IF-051,Target Priority,LINK,IF-040,Target Type,conceptually_undirected,어떤 표적 유형을 우선할지 나타낸다.,true,Defense OSDK public relationship
IR-067,IF-058,Collateral Concern Guidance,LINK,IF-056,Targeting Area,conceptually_undirected,이 지침을 어느 구역에 적용할지 나타낸다.,true,Defense OSDK public relationship
IR-068,IF-058,Collateral Concern Guidance,LINK,IF-059,Targeting Operation,conceptually_undirected,이 표적화 작전에서 사용할 부수피해 지침을 나타낸다.,true,Defense OSDK public relationship
IR-069,IF-041,Targetable Entity,LINK,IF-042,Target,conceptually_undirected,어떤 실제 대상을 어떤 표적화 과업이 다루는지 나타낸다.,true,Defense OSDK public relationship
IR-070,IF-041,Targetable Entity,LINK,IF-040,Target Type,conceptually_undirected,실제 대상을 전차·시설 등 표적 유형으로 분류한다.,true,Defense OSDK public relationship
IR-071,IF-040,Target Type,LINK,IF-055,Target Selection Standard,conceptually_undirected,이 표적 유형에 어떤 선정 기준을 적용할지 나타낸다.,true,Defense OSDK public relationship
IR-072,IF-059,Targeting Operation,LINK,IF-042,Target,conceptually_undirected,"Targeting Operation이 관리·포함하는 Target 과업들을 나타낸다. ""작전을 여러 과업으로 나눈다""는 표현보다 포함 관계가 정확하다.",true,Defense OSDK public relationship
IR-073,IF-059,Targeting Operation,LINK,IF-050,"High Payoff Target List, HPTL",conceptually_undirected,이 작전에서 우선 관리할 고효용 표적 목록을 나타낸다.,true,Defense OSDK public relationship
IR-074,IF-059,Targeting Operation,LINK,IF-052,Attack Guidance Matrix,conceptually_undirected,이 작전에서 사용할 공격지침 묶음을 나타낸다.,true,Defense OSDK public relationship
IR-075,IF-059,Targeting Operation,LINK,IF-054,Target Selection Standard Matrix,conceptually_undirected,이 작전에서 사용할 표적 선정 기준 묶음을 나타낸다.,true,Defense OSDK public relationship
IR-076,IF-059,Targeting Operation,LINK,IF-057,Target Engagement Authority,conceptually_undirected,Targeting Operation에 적용되는 Target Engagement Authority를 연결한다. 실제 승인 주체는 authority의 Owning Unit 등으로 별도 표현된다.,true,Defense OSDK public relationship
IR-077,IF-059,Targeting Operation,LINK,IF-056,Targeting Area,conceptually_undirected,이 작전이 어느 구역에서 수행되는지 나타낸다.,true,Defense OSDK public relationship
IR-078,IF-056,Targeting Area,LINK,IF-055,Target Selection Standard,conceptually_undirected,이 구역에서 사용할 표적 선정 기준을 나타낸다.,true,Defense OSDK public relationship
IR-079,IF-056,Targeting Area,LINK,IF-057,Target Engagement Authority,conceptually_undirected,Target Engagement Authority가 적용되는 Targeting Area를 연결한다. 승인 주체 자체는 Unit 관계에서 표현된다.,true,Defense OSDK public relationship
IR-080,IF-061,Effector Employment,LINK,IF-060,Target Effect Solution,conceptually_undirected,Target Effect Solution을 구성하는 Effector Employment를 연결한다. 즉 효과 방안과 그 방안을 실현하는 개별 효과수단 운용의 구성 관계다.,true,Defense OSDK public relationship
IR-081,IF-054,Target Selection Standard Matrix,LINK,IF-055,Target Selection Standard,conceptually_undirected,여러 표적 선정 기준을 하나의 매트릭스로 묶는다.,true,Defense OSDK public relationship
IR-082,IF-042,Target,LINK,IF-060,Target Effect Solution,conceptually_undirected,Target에 대해 제안되거나 선택된 Target Effect Solution을 연결한다. 상세 구조상 여러 후보 방안과 선택된 1개 방안을 구분할 수 있다.,true,Defense OSDK public relationship
