id,domain,official_type,a,b,existing_desc,review_status,reviewed_desc,semantic_source,semantic_relation,semantic_target,semantic_relation_ko,confidence,note
12,Intelligence (정보),Extends,ELINT,SIGINT,전자정보는 신호정보의 세부 유형이다.,유지,전자정보는 신호정보의 세부 유형이다.,ELINT,EXTENDS_TO,SIGINT,~를 확장,높음,공식 Extends
13,Intelligence (정보),Extends,GEOINT,Intelligence,지리공간정보는 정보의 세부 유형이다.,유지,지리공간정보는 정보의 세부 유형이다.,GEOINT,EXTENDS_TO,Intelligence,~를 확장,높음,공식 Extends
14,Intelligence (정보),Extends,OSINT,Intelligence,공개출처정보는 정보의 세부 유형이다.,유지,공개출처정보는 정보의 세부 유형이다.,OSINT,EXTENDS_TO,Intelligence,~를 확장,높음,공식 Extends
15,Intelligence (정보),Extends,MTI,GEOINT,이동표적지시 정보는 지리공간정보의 세부 유형이다.,유지,이동표적지시 정보는 지리공간정보의 세부 유형이다.,MTI,EXTENDS_TO,GEOINT,~를 확장,높음,공식 Extends
16,Intelligence (정보),Extends,IMINT,GEOINT,영상정보는 지리공간정보의 세부 유형이다.,유지,영상정보는 지리공간정보의 세부 유형이다.,IMINT,EXTENDS_TO,GEOINT,~를 확장,높음,공식 Extends
17,Intelligence (정보),Extends,COMINT,SIGINT,통신정보는 신호정보의 세부 유형이다.,유지,통신정보는 신호정보의 세부 유형이다.,COMINT,EXTENDS_TO,SIGINT,~를 확장,높음,공식 Extends
18,Intelligence (정보),Extends,SIGINT,Intelligence,신호정보는 정보의 세부 유형이다.,유지,신호정보는 정보의 세부 유형이다.,SIGINT,EXTENDS_TO,Intelligence,~를 확장,높음,공식 Extends
19,Intelligence (정보),Link,Intelligence,Intelligence Subject,이 정보가 누구 또는 무엇에 관한 것인지 나타낸다.,유지,이 정보가 누구 또는 무엇에 관한 것인지 나타낸다.,Intelligence,ABOUT_SUBJECT,Intelligence Subject,정보 대상,높음,Intelligence가 어떤 subject에 관한 정보인지 표현
20,Intelligence (정보),Link,Intelligence,Change Assessment,변화 평가에 사용한 정보가 무엇인지 남긴다.,보완,변화 평가를 뒷받침하거나 근거로 사용된 Intelligence를 연결한다.,Change Assessment,SUPPORTED_BY_INTELLIGENCE,Intelligence,근거 정보,높음,Assessment가 Intelligence를 근거/지원 정보로 참조하는 방향이 더 자연스러움
21,Intelligence (정보),Link,Intelligence,Intelligence Producer,이 정보를 누가 또는 어떤 센서가 만들었는지 나타낸다.,유지,이 정보를 누가 또는 어떤 센서가 만들었는지 나타낸다.,Intelligence,PRODUCED_BY,Intelligence Producer,정보 생산자,높음,생산 주체 연결
22,Intelligence (정보),Link,Intelligence,Functional Assessment,기능 평가에 사용한 정보가 무엇인지 남긴다.,보완,기능 평가를 뒷받침하거나 근거로 사용된 Intelligence를 연결한다.,Functional Assessment,SUPPORTED_BY_INTELLIGENCE,Intelligence,근거 정보,높음,Assessment가 Intelligence를 근거/지원 정보로 참조
23,Intelligence (정보),Link,Intelligence,Collateral Damage Assessment,부수피해 평가에 사용한 정보가 무엇인지 남긴다.,보완,부수피해 평가를 뒷받침하거나 근거로 사용된 Intelligence를 연결한다.,Collateral Damage Assessment,SUPPORTED_BY_INTELLIGENCE,Intelligence,근거 정보,높음,Assessment가 Intelligence를 근거/지원 정보로 참조
24,Mission Planning (임무계획),Extends,Engagement,Operation,교전은 작전의 세부 유형이다.,유지,교전은 작전의 세부 유형이다.,Engagement,EXTENDS_TO,Operation,~를 확장,높음,공식 Extends
25,Mission Planning (임무계획),Extends,Targeting Operation,Operation,표적화 작전은 작전의 세부 유형이다.,유지,표적화 작전은 작전의 세부 유형이다.,Targeting Operation,EXTENDS_TO,Operation,~를 확장,높음,공식 Extends
26,Mission Planning (임무계획),Link,Operation,Operation,작전 안에 하위 작전을 두거나 관련 작전끼리 묶는다.,수정,Operation 사이의 상위–하위 작전 구조를 나타낸다. 상세 정의에는 Parent Operation과 Child Operation 관계가 제시된다.,Operation,HAS_SUB_OPERATION,Operation,하위 작전,높음,상세 정의의 Parent Operation/Child Operation 관계. 역관계 HAS_PARENT_OPERATION 가능
27,Mission Planning (임무계획),Link,Operation,Unit,어느 부대가 이 작전을 수행하는지 나타낸다.,보완,Operation과 이를 수행하거나 담당하는 Unit을 연결한다. 공개 요약만으로 세부 link property 명칭까지는 확정하기 어렵다.,Operation,PERFORMED_BY_UNIT,Unit,수행/담당 부대,중간,공개 요약은 Unit 연결만 확인되므로 실제 property 명칭으로 단정하지 않음
28,Mission Planning (임무계획),Link,Operation,Unit Hierarchy,작전 당시 적용된 부대 편제를 나타낸다.,유지,작전 당시 적용된 부대 편제를 나타낸다.,Operation,USES_UNIT_HIERARCHY,Unit Hierarchy,적용 부대 편제,높음,작전 시점의 Unit Hierarchy 연결
29,Order of Battle (전투서열),Extends,Ammunition Type,Materiel Type,탄약 유형은 물자 유형의 세부 유형이다.,유지,탄약 유형은 물자 유형의 세부 유형이다.,Ammunition Type,EXTENDS_TO,Materiel Type,~를 확장,높음,공식 Extends
30,Order of Battle (전투서열),Extends,Equipment Type,Materiel Type,장비 유형은 물자 유형의 세부 유형이다.,유지,장비 유형은 물자 유형의 세부 유형이다.,Equipment Type,EXTENDS_TO,Materiel Type,~를 확장,높음,공식 Extends
31,Order of Battle (전투서열),Extends,Unit,Organization,부대는 조직의 세부 유형이다.,유지,부대는 조직의 세부 유형이다.,Unit,EXTENDS_TO,Organization,~를 확장,높음,공식 Extends
32,Order of Battle (전투서열),Link,Unit Type,Unit,부대를 해당 부대 유형으로 분류한다.,유지,부대를 해당 부대 유형으로 분류한다.,Unit,HAS_UNIT_TYPE,Unit Type,부대 유형,높음,Unit의 유형 분류
33,Order of Battle (전투서열),Link,Ammunition Type,Attack Guidance,공격지침에서 사용할 수 있는 탄약을 나타낸다.,유지,공격지침에서 사용할 수 있는 탄약을 나타낸다.,Attack Guidance,ALLOWS_AMMUNITION_TYPE,Ammunition Type,허용/관련 탄약 유형,중간,Attack Guidance의 관련 Ammunition Type. 허용의 세부 의미는 추론
34,Order of Battle (전투서열),Link,Organization,Organization Hierarchy Node Relationship,조직이 계층에서 어느 조직의 상위·하위인지 나타낸다.,수정,조직 계층 관계 객체가 부모 조직과 자식 조직을 각각 참조한다. 하나의 pair로는 두 역할이 합쳐져 보인다.,Organization Hierarchy Node Relationship,INVOLVES_ORGANIZATION,Organization,부모/자식 조직,높음,실제 상세 구현은 HAS_PARENT_ORGANIZATION / HAS_CHILD_ORGANIZATION 두 역할로 분리 권장
35,Order of Battle (전투서열),Link,Organization,Materiel Change Event,어느 조직의 물자 변경 기록인지 나타낸다.,유지,어느 조직의 물자 변경 기록인지 나타낸다.,Materiel Change Event,FOR_ORGANIZATION,Organization,대상 조직,높음,조직별 물자 변경 이벤트
36,Order of Battle (전투서열),Link,Organization,Materiel Status Event,어느 조직의 물자 상태 기록인지 나타낸다.,유지,어느 조직의 물자 상태 기록인지 나타낸다.,Materiel Status Event,FOR_ORGANIZATION,Organization,대상 조직,높음,조직별 물자 상태 이벤트
37,Order of Battle (전투서열),Link,Organization,Materiel Requirement,어느 조직이 물자를 요청했는지 나타낸다.,유지,어느 조직이 물자를 요청했는지 나타낸다.,Materiel Requirement,REQUESTED_BY_ORGANIZATION,Organization,요청 조직,높음,물자 요구의 요청 주체
38,Order of Battle (전투서열),Link,Ammunition Type,Target Selection Standard,이 표적 선정 기준에서 사용할 탄약을 나타낸다.,보완,"Target Selection Standard와 관련 Ammunition Type을 연결한다. ""이 기준에서 사용할 탄약""으로 단정하기보다 적용 맥락의 탄약 유형으로 보는 편이 안전하다.",Target Selection Standard,APPLIES_TO_AMMUNITION_TYPE,Ammunition Type,적용 탄약 유형,중간,연결 존재는 확실하나 구체적 업무 predicate는 공개 요약만으로 제한적
39,Order of Battle (전투서열),Link,Ammunition Type,Aimpoint Weapon Employment,조준점 공격에 사용할 탄약을 나타낸다.,유지,조준점 공격에 사용할 탄약을 나타낸다.,Aimpoint Weapon Employment,USES_AMMUNITION_TYPE,Ammunition Type,사용 탄약 유형,높음,Aimpoint 운용 계획의 탄약 유형
40,Order of Battle (전투서열),Link,Organization Hierarchy Node Relationship,Organization Hierarchy Node Relationship Type,조직 사이 관계가 지휘·배속 중 무엇인지 표시한다.,유지,조직 사이 관계가 지휘·배속 중 무엇인지 표시한다.,Organization Hierarchy Node Relationship,HAS_RELATIONSHIP_TYPE,Organization Hierarchy Node Relationship Type,관계 유형,높음,관계 객체의 유형 분류
41,Order of Battle (전투서열),Link,Organization Hierarchy Node Relationship,Organization Hierarchy,이 조직 관계가 어느 조직 계층에 속하는지 나타낸다.,유지,이 조직 관계가 어느 조직 계층에 속하는지 나타낸다.,Organization Hierarchy Node Relationship,PART_OF_ORGANIZATION_HIERARCHY,Organization Hierarchy,소속 조직 계층,높음,관계 객체가 어느 hierarchy에 속하는지 표현
42,Order of Battle (전투서열),Link,Materiel Type,Materiel Requirement,어떤 물자가 필요한지 나타낸다.,유지,어떤 물자가 필요한지 나타낸다.,Materiel Requirement,REQUIRES_MATERIEL_TYPE,Materiel Type,요구 물자 유형,높음,필요 물자 유형
43,Order of Battle (전투서열),Link,Unit Hierarchy,Unit Hierarchy Node Relationship,이 부대 관계가 어느 부대 계층에 속하는지 나타낸다.,유지,이 부대 관계가 어느 부대 계층에 속하는지 나타낸다.,Unit Hierarchy Node Relationship,PART_OF_UNIT_HIERARCHY,Unit Hierarchy,소속 부대 계층,높음,관계 객체가 어느 Unit Hierarchy에 속하는지 표현
44,Order of Battle (전투서열),Link,Unit Hierarchy Node Relationship,Unit Hierarchy Node Relationship Type,부대 사이 관계가 지휘·배속 중 무엇인지 표시한다.,유지,부대 사이 관계가 지휘·배속 중 무엇인지 표시한다.,Unit Hierarchy Node Relationship,HAS_RELATIONSHIP_TYPE,Unit Hierarchy Node Relationship Type,관계 유형,높음,부대 관계 유형 분류
45,Order of Battle (전투서열),Link,Unit Hierarchy Node Relationship,Unit,부대가 계층에서 어느 부대의 상위·하위인지 나타낸다.,수정,부대 계층 관계 객체가 부모 Unit과 자식 Unit을 각각 참조한다. 하나의 pair로는 두 역할이 합쳐져 보인다.,Unit Hierarchy Node Relationship,INVOLVES_UNIT,Unit,부모/자식 부대,높음,실제 상세 구현은 HAS_PARENT_UNIT / HAS_CHILD_UNIT 두 역할로 분리 권장
46,Order of Battle (전투서열),Link,Unit,Fire Support Coordination Measure,어느 부대가 이 화력지원협조수단을 관리하는지 나타낸다.,수정,"FSCM과 관련 Unit을 연결한다. 상세 정의상 소유·조정·면제 Unit 등 서로 다른 역할이 존재하므로 단순히 ""관리 부대"" 하나로 축약하면 정보가 손실된다.",Fire Support Coordination Measure,HAS_ASSOCIATED_UNIT,Unit,관련 부대,중간,"공개 상세에는 소유·조정·면제 Unit 역할이 있어, 실제 구현은 OWNED_BY_UNIT / COORDINATED_BY_UNIT / EXEMPTS_UNIT 등으로 세분 권장"
47,Order of Battle (전투서열),Link,Unit,Target Engagement Authority,어느 부대가 이 표적을 교전할 권한이 있는지 나타낸다.,수정,Target Engagement Authority의 소유 부대(Owning Unit)를 나타낸다. 특정 개별 Target의 교전 권한이라고 한정하는 설명은 부정확하다.,Target Engagement Authority,OWNED_BY_UNIT,Unit,권한 소유 부대,높음,상세 정의에 Owning Unit 1로 명시
48,Order of Battle (전투서열),Link,Materiel Type,Materiel Change Event,어떤 물자의 수량·상태가 바뀌었는지 나타낸다.,유지,어떤 물자의 수량·상태가 바뀌었는지 나타낸다.,Materiel Change Event,AFFECTS_MATERIEL_TYPE,Materiel Type,변경 대상 물자 유형,높음,어떤 물자 유형의 수량/상태 변화인지 표현
49,Order of Battle (전투서열),Link,Materiel Type,Materiel Status Event,어떤 물자의 현재 상태인지 나타낸다.,유지,어떤 물자의 현재 상태인지 나타낸다.,Materiel Status Event,DESCRIBES_MATERIEL_TYPE,Materiel Type,상태 대상 물자 유형,높음,어떤 물자 유형의 현재 상태인지 표현
50,Targeting and Fires (표적화 및 화력),Extends,Geometry-Based Collateral Concern Candidate,Collateral Concern Candidate,도형 기반 부수피해 우려 후보는 부수피해 우려 후보의 세부 유형이다.,유지,도형 기반 부수피해 우려 후보는 부수피해 우려 후보의 세부 유형이다.,Geometry-Based Collateral Concern Candidate,EXTENDS_TO,Collateral Concern Candidate,~를 확장,높음,공식 Extends
51,Targeting and Fires (표적화 및 화력),Extends,Point-Based Collateral Concern Candidate,Collateral Concern Candidate,점 기반 부수피해 우려 후보는 부수피해 우려 후보의 세부 유형이다.,유지,점 기반 부수피해 우려 후보는 부수피해 우려 후보의 세부 유형이다.,Point-Based Collateral Concern Candidate,EXTENDS_TO,Collateral Concern Candidate,~를 확장,높음,공식 Extends
52,Targeting and Fires (표적화 및 화력),Extends,Aimpoint Weapon Employment,Effector Employment,조준점 기반 무장 운용은 효과수단 운용의 세부 유형이다.,유지,조준점 기반 무장 운용은 효과수단 운용의 세부 유형이다.,Aimpoint Weapon Employment,EXTENDS_TO,Effector Employment,~를 확장,높음,공식 Extends
53,Targeting and Fires (표적화 및 화력),Link,Engagement,Target,어떤 표적화 과업을 실제 교전으로 수행했는지 나타낸다.,유지,어떤 표적화 과업을 실제 교전으로 수행했는지 나타낸다.,Engagement,EXECUTES_TARGET,Target,표적화 과업 실행,높음,Engagement가 특정 Target 과업의 실제 실행 행동
54,Targeting and Fires (표적화 및 화력),Link,Engagement,Change Assessment,교전 뒤 표적이 얼마나 변했는지 평가한 결과를 붙인다.,유지,교전 뒤 표적이 얼마나 변했는지 평가한 결과를 붙인다.,Engagement,HAS_CHANGE_ASSESSMENT,Change Assessment,변화 평가 결과,높음,교전 결과 평가
55,Targeting and Fires (표적화 및 화력),Link,Engagement,Functional Assessment,교전 뒤 표적 기능이 얼마나 남았는지 평가한 결과를 붙인다.,유지,교전 뒤 표적 기능이 얼마나 남았는지 평가한 결과를 붙인다.,Engagement,HAS_FUNCTIONAL_ASSESSMENT,Functional Assessment,기능 평가 결과,높음,교전 결과 평가
56,Targeting and Fires (표적화 및 화력),Link,Engagement,Collateral Damage Assessment,교전으로 발생한 부수피해 평가 결과를 붙인다.,유지,교전으로 발생한 부수피해 평가 결과를 붙인다.,Engagement,HAS_COLLATERAL_DAMAGE_ASSESSMENT,Collateral Damage Assessment,부수피해 평가 결과,높음,교전 결과 평가
57,Targeting and Fires (표적화 및 화력),Link,Engagement,Munition Effectiveness Assessment,사용한 탄약이 얼마나 효과적이었는지 평가한 결과를 붙인다.,유지,사용한 탄약이 얼마나 효과적이었는지 평가한 결과를 붙인다.,Engagement,HAS_MUNITION_EFFECTIVENESS_ASSESSMENT,Munition Effectiveness Assessment,탄약 효과 평가 결과,높음,교전 결과 평가
58,Targeting and Fires (표적화 및 화력),Link,Engagement,Serviced Assessment,표적에 필요한 조치가 끝났는지 평가한 결과를 붙인다.,유지,표적에 필요한 조치가 끝났는지 평가한 결과를 붙인다.,Engagement,HAS_SERVICED_ASSESSMENT,Serviced Assessment,조치 여부 평가 결과,높음,교전/표적 조치 여부 평가
59,Targeting and Fires (표적화 및 화력),Link,Attack Guidance,Attack Guidance Matrix,여러 공격지침을 하나의 매트릭스로 묶는다.,유지,여러 공격지침을 하나의 매트릭스로 묶는다.,Attack Guidance Matrix,CONTAINS_ATTACK_GUIDANCE,Attack Guidance,공격지침 포함,높음,Matrix가 Attack Guidance 1..N을 묶음
60,Targeting and Fires (표적화 및 화력),Link,Attack Guidance,Targeting Area,이 공격지침을 어느 구역에 적용할지 나타낸다.,유지,이 공격지침을 어느 구역에 적용할지 나타낸다.,Attack Guidance,APPLIES_TO_TARGETING_AREA,Targeting Area,적용 구역,높음,공격지침의 적용 구역
61,Targeting and Fires (표적화 및 화력),Link,Attack Guidance,Target Type,이 공격지침을 어떤 표적에 적용할지 나타낸다.,유지,이 공격지침을 어떤 표적에 적용할지 나타낸다.,Attack Guidance,APPLIES_TO_TARGET_TYPE,Target Type,적용 표적 유형,높음,공격지침의 대상 표적 유형
62,Targeting and Fires (표적화 및 화력),Link,Collateral Concern List,Collateral Concern Candidate,부수피해가 우려되는 후보를 하나의 목록으로 묶는다.,유지,부수피해가 우려되는 후보를 하나의 목록으로 묶는다.,Collateral Concern List,CONTAINS_COLLATERAL_CONCERN,Collateral Concern Candidate,부수피해 우려 후보 포함,높음,목록 구성 관계
63,Targeting and Fires (표적화 및 화력),Link,Collateral Concern List,Collateral Concern Guidance,이 목록을 검토할 때 사용할 지침을 나타낸다.,유지,이 목록을 검토할 때 사용할 지침을 나타낸다.,Collateral Concern List,USES_COLLATERAL_GUIDANCE,Collateral Concern Guidance,검토 지침,중간,공식 Link는 확실. 방향은 목록에서 지침을 사용하는 것으로 해석
64,Targeting and Fires (표적화 및 화력),Link,Target Priority,High Payoff Target List,고효용 표적 목록에서 무엇을 먼저 처리할지 나타낸다.,보완,High Payoff Target List가 표적 유형별 Target Priority 항목을 포함하는 관계를 나타낸다.,High Payoff Target List,CONTAINS_TARGET_PRIORITY,Target Priority,표적 우선순위 포함,높음,HPTL은 Target Priority 1..N의 집합
65,Targeting and Fires (표적화 및 화력),Link,Target Priority,Targeting Area,이 우선순위를 어느 구역에 적용할지 나타낸다.,유지,이 우선순위를 어느 구역에 적용할지 나타낸다.,Target Priority,APPLIES_TO_TARGETING_AREA,Targeting Area,적용 구역,높음,특정 구역에 적용되는 우선순위
66,Targeting and Fires (표적화 및 화력),Link,Target Priority,Target Type,어떤 표적 유형을 우선할지 나타낸다.,유지,어떤 표적 유형을 우선할지 나타낸다.,Target Priority,PRIORITIZES_TARGET_TYPE,Target Type,우선순위 대상 표적 유형,높음,Target Priority는 Target Type 1을 대상으로 함
67,Targeting and Fires (표적화 및 화력),Link,Collateral Concern Guidance,Targeting Area,이 지침을 어느 구역에 적용할지 나타낸다.,유지,이 지침을 어느 구역에 적용할지 나타낸다.,Collateral Concern Guidance,APPLIES_TO_TARGETING_AREA,Targeting Area,적용 구역,높음,부수피해 지침 적용 구역
68,Targeting and Fires (표적화 및 화력),Link,Collateral Concern Guidance,Targeting Operation,이 표적화 작전에서 사용할 부수피해 지침을 나타낸다.,유지,이 표적화 작전에서 사용할 부수피해 지침을 나타낸다.,Targeting Operation,USES_COLLATERAL_GUIDANCE,Collateral Concern Guidance,부수피해 지침 사용,높음,표적화 작전에 적용되는 guidance
69,Targeting and Fires (표적화 및 화력),Link,Targetable Entity,Target,어떤 실제 대상을 어떤 표적화 과업이 다루는지 나타낸다.,유지,어떤 실제 대상을 어떤 표적화 과업이 다루는지 나타낸다.,Target,TARGETS_ENTITY,Targetable Entity,표적화 대상 실체,높음,Target 1건이 특정 Targetable Entity를 대상으로 함
70,Targeting and Fires (표적화 및 화력),Link,Targetable Entity,Target Type,실제 대상을 전차·시설 등 표적 유형으로 분류한다.,유지,실제 대상을 전차·시설 등 표적 유형으로 분류한다.,Targetable Entity,HAS_TARGET_TYPE,Target Type,표적 유형,높음,실체의 Target Type 분류
71,Targeting and Fires (표적화 및 화력),Link,Target Type,Target Selection Standard,이 표적 유형에 어떤 선정 기준을 적용할지 나타낸다.,유지,이 표적 유형에 어떤 선정 기준을 적용할지 나타낸다.,Target Selection Standard,APPLIES_TO_TARGET_TYPE,Target Type,선정 기준 적용 표적 유형,높음,Standard가 Target Type 1에 적용
72,Targeting and Fires (표적화 및 화력),Link,Targeting Operation,Target,표적화 작전을 여러 표적화 과업으로 나눈다.,수정,"Targeting Operation이 관리·포함하는 Target 과업들을 나타낸다. ""작전을 여러 과업으로 나눈다""는 표현보다 포함 관계가 정확하다.",Targeting Operation,INCLUDES_TARGET,Target,표적화 과업 포함,높음,"상세 정의상 Target 1..N을 포함. ""작전을 나눈다""보다 포함/관리로 표현하는 것이 정확"
73,Targeting and Fires (표적화 및 화력),Link,Targeting Operation,High Payoff Target List,이 작전에서 우선 관리할 고효용 표적 목록을 나타낸다.,유지,이 작전에서 우선 관리할 고효용 표적 목록을 나타낸다.,Targeting Operation,USES_HIGH_PAYOFF_TARGET_LIST,High Payoff Target List,고효용 표적 목록 사용,높음,작전별 HPTL 연결
74,Targeting and Fires (표적화 및 화력),Link,Targeting Operation,Attack Guidance Matrix,이 작전에서 사용할 공격지침 묶음을 나타낸다.,유지,이 작전에서 사용할 공격지침 묶음을 나타낸다.,Targeting Operation,USES_ATTACK_GUIDANCE_MATRIX,Attack Guidance Matrix,공격지침 매트릭스 사용,높음,작전별 Attack Guidance Matrix 연결
75,Targeting and Fires (표적화 및 화력),Link,Targeting Operation,Target Selection Standard Matrix,이 작전에서 사용할 표적 선정 기준 묶음을 나타낸다.,유지,이 작전에서 사용할 표적 선정 기준 묶음을 나타낸다.,Targeting Operation,USES_TARGET_SELECTION_STANDARD_MATRIX,Target Selection Standard Matrix,표적 선정 기준 매트릭스 사용,높음,작전별 Selection Standard Matrix 연결
76,Targeting and Fires (표적화 및 화력),Link,Targeting Operation,Target Engagement Authority,이 작전에서 누가 교전을 승인할 수 있는지 나타낸다.,수정,Targeting Operation에 적용되는 Target Engagement Authority를 연결한다. 실제 승인 주체는 authority의 Owning Unit 등으로 별도 표현된다.,Targeting Operation,USES_TARGET_ENGAGEMENT_AUTHORITY,Target Engagement Authority,교전 권한 적용,높음,"""누가 승인""보다 해당 작전에 적용되는 authority 객체와의 연결로 표현"
77,Targeting and Fires (표적화 및 화력),Link,Targeting Operation,Targeting Area,이 작전이 어느 구역에서 수행되는지 나타낸다.,유지,이 작전이 어느 구역에서 수행되는지 나타낸다.,Targeting Operation,COVERS_TARGETING_AREA,Targeting Area,표적화 구역 포함,높음,작전이 다루는 Targeting Area 1..N
78,Targeting and Fires (표적화 및 화력),Link,Targeting Area,Target Selection Standard,이 구역에서 사용할 표적 선정 기준을 나타낸다.,유지,이 구역에서 사용할 표적 선정 기준을 나타낸다.,Target Selection Standard,APPLIES_TO_TARGETING_AREA,Targeting Area,선정 기준 적용 구역,높음,Standard의 선택적 Targeting Area
79,Targeting and Fires (표적화 및 화력),Link,Targeting Area,Target Engagement Authority,이 구역에서 누가 교전을 승인할 수 있는지 나타낸다.,수정,Target Engagement Authority가 적용되는 Targeting Area를 연결한다. 승인 주체 자체는 Unit 관계에서 표현된다.,Target Engagement Authority,APPLIES_TO_TARGETING_AREA,Targeting Area,교전 권한 적용 구역,높음,"""누가 승인""보다 권한 객체가 적용되는 구역으로 표현"
80,Targeting and Fires (표적화 및 화력),Link,Effector Employment,Target Effect Solution,원하는 효과와 이를 달성할 수단을 함께 나타낸다.,수정,Target Effect Solution을 구성하는 Effector Employment를 연결한다. 즉 효과 방안과 그 방안을 실현하는 개별 효과수단 운용의 구성 관계다.,Target Effect Solution,HAS_EFFECTOR_EMPLOYMENT,Effector Employment,효과수단 운용 포함,높음,Solution을 구성하는 개별 Effector Employment
81,Targeting and Fires (표적화 및 화력),Link,Target Selection Standard Matrix,Target Selection Standard,여러 표적 선정 기준을 하나의 매트릭스로 묶는다.,유지,여러 표적 선정 기준을 하나의 매트릭스로 묶는다.,Target Selection Standard Matrix,CONTAINS_SELECTION_STANDARD,Target Selection Standard,선정 기준 포함,높음,Matrix가 Standard 1..N을 묶음
82,Targeting and Fires (표적화 및 화력),Link,Target,Target Effect Solution,이 표적화 과업으로 어떤 효과를 내려는지 나타낸다.,수정,Target에 대해 제안되거나 선택된 Target Effect Solution을 연결한다. 상세 구조상 여러 후보 방안과 선택된 1개 방안을 구분할 수 있다.,Target,HAS_EFFECT_SOLUTION,Target Effect Solution,효과 달성 방안,높음,상세 정의상 후보 방안 여러 개와 선택 방안 1개가 가능. 실제 구현은 PROPOSES_EFFECT_SOLUTION / SELECTS_EFFECT_SOLUTION 분리 권장
