object_id,name,primary_interface_id,scenario_ids,summary_ko,synthetic
OBJ-049,감시드론 배터리 입고 이벤트,IF-033,S04,물자 변경 이벤트 Interface를 적용한 한국형 합성 객체 예시.,true
OBJ-050,감시드론 배터리 재고상태,IF-034,S04,물자 상태 이벤트 Interface를 적용한 한국형 합성 객체 예시.,true
OBJ-051,감시드론 배터리 추가소요,IF-035,S04,물자 요구 Interface를 적용한 한국형 합성 객체 예시.,true
OBJ-052,가상 감시구역 부수피해 우려목록,IF-036,,부수피해 우려 목록 Interface를 적용한 한국형 합성 객체 예시.,true
OBJ-053,민간 영향 가능 대상 C-101,IF-037,,부수피해 우려 후보 Interface를 적용한 한국형 합성 객체 예시.,true
OBJ-054,가상 민간시설 지점 C-POINT-101,IF-038,,점 기반 부수피해 우려 후보 Interface를 적용한 한국형 합성 객체 예시.,true
OBJ-055,가상 민간활동 구역 C-AREA-101,IF-039,,도형 기반 부수피해 우려 후보 Interface를 적용한 한국형 합성 객체 예시.,true
OBJ-056,이동형 군용차량 유형,IF-040,S02,표적 유형 Interface를 적용한 한국형 합성 객체 예시.,true
OBJ-057,미식별 군용차량 A,IF-041,S01|S02,표적화 가능 실체 Interface를 적용한 한국형 합성 객체 예시.,true
OBJ-058,이동형 통신차량 B,IF-041,,표적화 가능 실체 Interface를 적용한 한국형 합성 객체 예시.,true
OBJ-059,가상 레이더 장비 C,IF-041,,표적화 가능 실체 Interface를 적용한 한국형 합성 객체 예시.,true
OBJ-060,표적화 검토과업 T-101,IF-042,S01|S02,표적화 과업 Interface를 적용한 한국형 합성 객체 예시.,true
OBJ-061,표적화 검토과업 T-102,IF-042,,표적화 과업 Interface를 적용한 한국형 합성 객체 예시.,true
OBJ-062,표적화 검토과업 T-103,IF-042,,표적화 과업 Interface를 적용한 한국형 합성 객체 예시.,true
OBJ-063,표적 변화평가 CA-101,IF-043,S02,변화 평가 Interface를 적용한 한국형 합성 객체 예시.,true
OBJ-064,표적 기능평가 FA-101,IF-044,S02,기능 평가 Interface를 적용한 한국형 합성 객체 예시.,true
OBJ-065,부수피해 평가 CDA-101,IF-045,S02,부수피해 평가 Interface를 적용한 한국형 합성 객체 예시.,true
OBJ-066,모의 탄약효과 평가 MEA-101,IF-046,S02,탄약 효과 평가 Interface를 적용한 한국형 합성 객체 예시.,true
OBJ-067,표적 조치여부 평가 SA-101,IF-047,S02,표적 조치 여부 평가 Interface를 적용한 한국형 합성 객체 예시.,true
OBJ-068,모의 교전 ENG-101,IF-048,S02,교전 Interface를 적용한 한국형 합성 객체 예시.,true
OBJ-069,모의 교전 ENG-102,IF-048,,교전 Interface를 적용한 한국형 합성 객체 예시.,true
OBJ-070,가상 비사격구역 FSCM-101,IF-049,,화력지원협조수단 Interface를 적용한 한국형 합성 객체 예시.,true
OBJ-071,가상 고효용 표적목록 HPTL-101,IF-050,S02,고효용 표적 목록 Interface를 적용한 한국형 합성 객체 예시.,true
OBJ-072,이동표적 우선순위 TP-101,IF-051,S02,표적 우선순위 Interface를 적용한 한국형 합성 객체 예시.,true
OBJ-073,고정표적 우선순위 TP-102,IF-051,,표적 우선순위 Interface를 적용한 한국형 합성 객체 예시.,true
OBJ-074,가상 공격지침 매트릭스 AGM-101,IF-052,,공격지침 매트릭스 Interface를 적용한 한국형 합성 객체 예시.,true
OBJ-075,가상 공격지침 AG-101,IF-053,,공격지침 Interface를 적용한 한국형 합성 객체 예시.,true
OBJ-076,가상 표적선정 기준 매트릭스 TSSM-101,IF-054,,표적 선정 기준 매트릭스 Interface를 적용한 한국형 합성 객체 예시.,true
OBJ-077,가상 이동표적 선정기준 TSS-101,IF-055,,표적 선정 기준 Interface를 적용한 한국형 합성 객체 예시.,true
OBJ-078,가상 표적화 구역 TA-101,IF-056,S02,표적화 구역 Interface를 적용한 한국형 합성 객체 예시.,true
OBJ-079,모의 교전승인 권한 AUTH-101,IF-057,S02,표적 교전 권한 Interface를 적용한 한국형 합성 객체 예시.,true
OBJ-080,가상 부수피해 우려지침 CCG-101,IF-058,S02,부수피해 우려 지침 Interface를 적용한 한국형 합성 객체 예시.,true
OBJ-081,가상 표적화 작전 청명-T,IF-059,S01|S02,표적화 작전 Interface를 적용한 한국형 합성 객체 예시.,true
OBJ-082,추가감시 중심 효과방안 TES-101,IF-060,S02,표적 효과 방안 Interface를 적용한 한국형 합성 객체 예시.,true
OBJ-083,모의 대응수단 검토 방안 TES-102,IF-060,,표적 효과 방안 Interface를 적용한 한국형 합성 객체 예시.,true
OBJ-084,추가감시 자산 운용 EE-101,IF-061,S02,효과수단 운용 Interface를 적용한 한국형 합성 객체 예시.,true
OBJ-085,모의 효과수단 운용 EE-102,IF-061,,효과수단 운용 Interface를 적용한 한국형 합성 객체 예시.,true
OBJ-086,모의 조준점 운용 AWE-101,IF-062,,조준점 기반 무장 운용 Interface를 적용한 한국형 합성 객체 예시.,true
