relationship_id,scenario_id,source_object_id,relation_type,target_object_id,basis_interface_relation_id,basis,description_ko,synthetic
OR-015,S02,OBJ-081,USES_HIGH_PAYOFF_TARGET_LIST,OBJ-071,IR-073,INTERFACE_CANDIDATE_CONFIRMED,표적화 작전이 고효용 표적목록을 참조.,true
OR-016,S02,OBJ-071,CONTAINS_TARGET_PRIORITY,OBJ-072,IR-064,INTERFACE_CANDIDATE_CONFIRMED,고효용 표적목록에 이동표적 우선순위를 포함.,true
OR-017,S02,OBJ-072,PRIORITIZES_TARGET_TYPE,OBJ-056,IR-066,INTERFACE_CANDIDATE_CONFIRMED,우선순위 규칙이 이동형 군용차량 유형을 대상으로 함.,true
OR-018,S02,OBJ-081,COVERS_TARGETING_AREA,OBJ-078,IR-077,INTERFACE_CANDIDATE_CONFIRMED,표적화 작전의 적용 구역을 연결.,true
OR-019,S02,OBJ-081,USES_COLLATERAL_GUIDANCE,OBJ-080,IR-068,INTERFACE_CANDIDATE_CONFIRMED,표적화 작전이 부수피해 우려지침을 사용.,true
OR-020,S02,OBJ-080,APPLIES_TO_TARGETING_AREA,OBJ-078,IR-067,INTERFACE_CANDIDATE_CONFIRMED,부수피해 우려지침이 동일 표적화 구역에 적용.,true
OR-021,S02,OBJ-081,USES_TARGET_ENGAGEMENT_AUTHORITY,OBJ-079,IR-076,INTERFACE_CANDIDATE_CONFIRMED,표적화 작전이 모의 교전승인 권한을 참조.,true
OR-022,S02,OBJ-079,OWNED_BY_UNIT,OBJ-034,IR-047,INTERFACE_CANDIDATE_CONFIRMED,모의 교전승인 권한의 소유 부대를 연결.,true
OR-023,S02,OBJ-060,HAS_EFFECT_SOLUTION,OBJ-082,IR-082,INTERFACE_CANDIDATE_CONFIRMED,표적화 과업에 추가감시 중심 효과방안을 연결.,true
OR-024,S02,OBJ-082,HAS_EFFECTOR_EMPLOYMENT,OBJ-084,IR-080,INTERFACE_CANDIDATE_CONFIRMED,효과방안에 추가감시 자산 운용안을 연결.,true
OR-025,S02,OBJ-081,HAS_SUB_OPERATION,OBJ-068,IR-026,INHERITED_INTERFACE_CANDIDATE_CONFIRMED,Targeting Operation과 Engagement가 Operation 계열이므로 모의 교전을 하위 작전으로 연결.,true
OR-026,S02,OBJ-068,EXECUTES_TARGET,OBJ-060,IR-053,INTERFACE_CANDIDATE_CONFIRMED,모의 교전이 표적화 과업을 실행 대상으로 연결.,true
OR-027,S02,OBJ-068,PERFORMED_BY_UNIT,OBJ-035,IR-027,INHERITED_INTERFACE_CANDIDATE_CONFIRMED,Engagement가 Operation을 확장하므로 정찰소대 수행관계를 연결.,true
OR-028,S02,OBJ-068,HAS_CHANGE_ASSESSMENT,OBJ-063,IR-054,INTERFACE_CANDIDATE_CONFIRMED,교전 후 변화평가 연결.,true
OR-029,S02,OBJ-068,HAS_FUNCTIONAL_ASSESSMENT,OBJ-064,IR-055,INTERFACE_CANDIDATE_CONFIRMED,교전 후 기능평가 연결.,true
OR-030,S02,OBJ-068,HAS_COLLATERAL_DAMAGE_ASSESSMENT,OBJ-065,IR-056,INTERFACE_CANDIDATE_CONFIRMED,교전 후 부수피해 평가 연결.,true
OR-031,S02,OBJ-068,HAS_MUNITION_EFFECTIVENESS_ASSESSMENT,OBJ-066,IR-057,INTERFACE_CANDIDATE_CONFIRMED,교전 후 모의 탄약효과 평가 연결.,true
OR-032,S02,OBJ-068,HAS_SERVICED_ASSESSMENT,OBJ-067,IR-058,INTERFACE_CANDIDATE_CONFIRMED,교전 후 조치여부 평가 연결.,true
OR-033,S03,OBJ-027,HAS_SUB_OPERATION,OBJ-028,IR-026,INTERFACE_CANDIDATE_CONFIRMED,상위 감시작전과 이상활동 확인 하위작전을 연결.,true
OR-034,S03,OBJ-027,PERFORMED_BY_UNIT,OBJ-034,IR-027,INTERFACE_CANDIDATE_CONFIRMED,감시작전 수행부대 제101감시중대.,true
OR-035,S03,OBJ-027,PERFORMED_BY_UNIT,OBJ-036,IR-027,INTERFACE_CANDIDATE_CONFIRMED,동일 작전에 지원부대가 참여하는 합성 사례.,true
OR-036,S03,OBJ-027,USES_UNIT_HIERARCHY,OBJ-039,IR-028,INTERFACE_CANDIDATE_CONFIRMED,작전이 사용하는 부대 편제구조를 연결.,true
OR-037,S03,OBJ-034,HAS_UNIT_TYPE,OBJ-040,IR-032,INTERFACE_CANDIDATE_CONFIRMED,제101감시중대의 부대유형 연결.,true
OR-038,S03,OBJ-037,PART_OF_UNIT_HIERARCHY,OBJ-039,IR-043,INTERFACE_CANDIDATE_CONFIRMED,부대 지휘관계가 감시부대 편제구조에 속함.,true
OR-039,S03,OBJ-037,HAS_RELATIONSHIP_TYPE,OBJ-038,IR-044,INTERFACE_CANDIDATE_CONFIRMED,부대 지휘관계의 유형을 배속으로 연결.,true
OR-040,S03,OBJ-037,INVOLVES_UNIT,OBJ-034,IR-045,INTERFACE_CANDIDATE_CONFIRMED,부대 지휘관계가 제101감시중대를 포함.,true
OR-041,S03,OBJ-031,INVOLVES_ORGANIZATION,OBJ-029,IR-034,INTERFACE_CANDIDATE_CONFIRMED,조직 지휘관계가 제1합동감시단을 포함.,true
OR-042,S03,OBJ-031,HAS_RELATIONSHIP_TYPE,OBJ-032,IR-040,INTERFACE_CANDIDATE_CONFIRMED,조직 지휘관계의 유형을 작전통제로 연결.,true
OR-043,S03,OBJ-031,PART_OF_ORGANIZATION_HIERARCHY,OBJ-033,IR-041,INTERFACE_CANDIDATE_CONFIRMED,조직 지휘관계가 합동감시 조직 지휘구조에 속함.,true
OR-044,S04,OBJ-051,REQUIRES_MATERIEL_TYPE,OBJ-041,IR-042,INTERFACE_CANDIDATE_CONFIRMED,추가소요가 감시드론 배터리 물자유형을 요구.,true
OR-045,S04,OBJ-051,REQUESTED_BY_ORGANIZATION,OBJ-030,IR-037,INTERFACE_CANDIDATE_CONFIRMED,추가소요 요청 조직을 가상 군수지원센터로 연결.,true
OR-046,S04,OBJ-051,HAS_RELATED_LOCATION,OBJ-008,IR-007,INTERFACE_CANDIDATE_CONFIRMED,추가소요와 관련된 위치를 가상 보급집결지 B로 연결.,true
OR-047,S04,OBJ-049,AFFECTS_MATERIEL_TYPE,OBJ-041,IR-048,INTERFACE_CANDIDATE_CONFIRMED,배터리 입고 이벤트가 해당 물자유형에 영향을 줌.,true
OR-048,S04,OBJ-049,FOR_ORGANIZATION,OBJ-030,IR-035,INTERFACE_CANDIDATE_CONFIRMED,입고 이벤트 관련 조직을 군수지원센터로 연결.,true
OR-049,S04,OBJ-049,OCCURRED_AT,OBJ-008,IR-008,INTERFACE_CANDIDATE_CONFIRMED,입고 이벤트 발생 위치를 보급집결지로 연결.,true
OR-050,S04,OBJ-050,DESCRIBES_MATERIEL_TYPE,OBJ-041,IR-049,INTERFACE_CANDIDATE_CONFIRMED,재고상태가 배터리 물자유형의 상태를 설명.,true
OR-051,S04,OBJ-050,FOR_ORGANIZATION,OBJ-030,IR-036,INTERFACE_CANDIDATE_CONFIRMED,재고상태 관련 조직을 군수지원센터로 연결.,true
OR-052,S04,OBJ-050,RECORDED_AT,OBJ-008,IR-009,INTERFACE_CANDIDATE_CONFIRMED,재고상태 기록 위치를 보급집결지로 연결.,true
OR-053,S04,OBJ-003,HAS_OBSERVATION,OBJ-050,IR-006,INHERITED_INTERFACE_CANDIDATE_CONFIRMED,Materiel Status Event가 Report Observation을 확장하므로 군수상태 보고서의 관측 항목으로 연결.,true
OR-054,S04,OBJ-003,HAS_OBSERVATION,OBJ-049,IR-006,INHERITED_INTERFACE_CANDIDATE_CONFIRMED,Materiel Change Event가 Report Observation을 확장하므로 입고 이벤트도 보고서 관측 항목으로 연결.,true
