object_id,property_key,property_name,property_type,value_raw,display_value_ko,defined_by_interface_id,defined_by_interface,inheritance,required,synthetic
OBJ-001,iff_sif_modifier_p,IFF/SIF Modifier (P),string,MODE4-SYN,합성 IFF 모드,IF-001,MILSTD 2525C Symbol,direct,false,true
OBJ-001,direction_of_movement_indicator_modifier_q,Direction of Movement Indicator Modifier (Q),double,55.0,55도,IF-001,MILSTD 2525C Symbol,direct,false,true
OBJ-001,sigint_mobility_indicator_modifier_r2,SIGINT Mobility Indicator Modifier (R2),MIL2525 SIGINT Mobility Indicator,MOBILE,이동형,IF-001,MILSTD 2525C Symbol,direct,false,true
OBJ-001,unique_designation_modifier_1_t,Unique Designation Modifier 1 (T),string,가상 중부전선 감시구역 A 전술심볼,가상 중부전선 감시구역 A 전술심볼,IF-001,MILSTD 2525C Symbol,direct,false,true
OBJ-001,unique_designation_modifier_2_t1,Unique Designation Modifier 2 (T1),string,보조명칭-001,보조명칭 001,IF-001,MILSTD 2525C Symbol,direct,false,true
OBJ-001,type_modifier_v,Type Modifier (V),string,감시/정찰,감시·정찰,IF-001,MILSTD 2525C Symbol,direct,false,true
OBJ-001,date_time_group_modifier_1_effective_time_w,Date-Time Group Modifier 1/Effective Time (W),timestamp,2026-08-09T09:07:00,2026-08-09 09:07,IF-001,MILSTD 2525C Symbol,direct,false,true
OBJ-001,date_time_group_modifier_2_expiration_time_w1,Date-Time Group Modifier 2/Expiration Time (W1),timestamp,2026-08-09T15:07:00,2026-08-09 15:07,IF-001,MILSTD 2525C Symbol,direct,false,true
OBJ-001,altitude_depth_modifier_x,Altitude/Depth Modifier (X),list<struct>,"[{""min"": 0, ""max"": 500, ""unit"": ""m""}]",0~500m,IF-001,MILSTD 2525C Symbol,direct,false,true
OBJ-001,location_modifier_y,Location Modifier (Y),geohash,wydq70m4,"합성좌표 37.663,127.053",IF-001,MILSTD 2525C Symbol,direct,false,true
OBJ-001,speed_modifier_z,Speed Modifier (Z),struct,"{""value"": 19, ""unit"": ""km/h""}",19 km/h,IF-001,MILSTD 2525C Symbol,direct,false,true
OBJ-001,special_c2_headquarters_modifier_aa,Special C2 Headquarters Modifier (AA),string,가상 지휘소,가상 지휘소,IF-001,MILSTD 2525C Symbol,direct,false,true
OBJ-001,platform_type_modifier_ad,Platform Type Modifier (AD),string,SYN-PLATFORM,합성 플랫폼,IF-001,MILSTD 2525C Symbol,direct,false,true
OBJ-001,equipment_teardown_time_modifier_ae,Equipment Teardown Time Modifier (AE),double,12.0,12분,IF-001,MILSTD 2525C Symbol,direct,false,true
OBJ-001,common_identifier_modifier_af,Common Identifier Modifier (AF),string,SYN-CID-001,합성 공통식별자 001,IF-001,MILSTD 2525C Symbol,direct,false,true
OBJ-001,distance_modifier_am,Distance Modifier (AM),list<double>,"[500.0, 1000.0]","500m / 1,000m",IF-001,MILSTD 2525C Symbol,direct,false,true
OBJ-001,azimuth_modifier_an,Azimuth Modifier (AN),list<double>,"[45.0, 90.0]",45도 / 90도,IF-001,MILSTD 2525C Symbol,direct,false,true
OBJ-001,engagement_bar_modifier_ao,Engagement Bar Modifier (AO),string,훈련·모의,훈련·모의 상태,IF-001,MILSTD 2525C Symbol,direct,false,true
OBJ-002,timestamp,Timestamp,timestamp,2026-08-09T09:14:00,2026-08-09 09:14,IF-002,Report,direct,true,true
OBJ-003,timestamp,Timestamp,timestamp,2026-08-09T09:21:00,2026-08-09 09:21,IF-002,Report,direct,true,true
OBJ-005,track_quality,Track Quality,Track Quality,12,추적품질 12/15,IF-004,Defense Tracked Entity,direct,false,true
OBJ-006,track_quality,Track Quality,Track Quality,12,추적품질 12/15,IF-005,Defense Geotemporal Observation,direct,false,true
OBJ-007,location_geopoint,Location (geopoint),geohash,wy7ht22r,"합성좌표 35.950,128.200",IF-006,Named Location,direct,false,true
OBJ-007,location_geoshape,Location (geoshape),geoshape,"POLYGON((128.18500 35.93500,128.21500 35.93500,128.21500 35.96500,128.18500 35.96500,128.18500 35.93500))",합성 작전구역 폴리곤,IF-006,Named Location,direct,false,true
OBJ-008,location_geopoint,Location (geopoint),geohash,wydqmrtg,"합성좌표 37.703,127.153",IF-006,Named Location,direct,false,true
OBJ-008,location_geoshape,Location (geoshape),geoshape,"POLYGON((127.13800 37.68800,127.16800 37.68800,127.16800 37.71800,127.13800 37.71800,127.13800 37.68800))",합성 작전구역 폴리곤,IF-006,Named Location,direct,false,true
OBJ-009,location_geopoint,Location (geopoint),geohash,wydq70zk,"합성좌표 37.666,127.056",IF-006,Named Location,direct,false,true
OBJ-009,location_geoshape,Location (geoshape),geoshape,"POLYGON((127.04100 37.65100,127.07100 37.65100,127.07100 37.68100,127.04100 37.68100,127.04100 37.65100))",합성 작전구역 폴리곤,IF-006,Named Location,direct,false,true
OBJ-010,normalized_confidence,Normalized Confidence,Normalized Confidence,4,높음(4/5),IF-007,Intelligence,direct,false,true
OBJ-010,reported_timestamp,Reported Timestamp,timestamp,2026-08-09T10:10:00,2026-08-09 10:10,IF-007,Intelligence,direct,true,true
OBJ-010,reported_position,Reported Position,geohash,wydmz4v7,"합성좌표 37.589,127.229",IF-007,Intelligence,direct,false,true
OBJ-011,normalized_confidence,Normalized Confidence,Normalized Confidence,3,중간(3/5),IF-007,Intelligence,direct,false,true
OBJ-011,reported_timestamp,Reported Timestamp,timestamp,2026-08-09T10:17:00,2026-08-09 10:17,IF-007,Intelligence,direct,true,true
OBJ-011,reported_position,Reported Position,geohash,wydmk90n,"합성좌표 37.492,127.112",IF-007,Intelligence,direct,false,true
OBJ-015,normalized_confidence,Normalized Confidence,Normalized Confidence,4,높음(4/5),IF-007,Intelligence,inherited,false,true
OBJ-015,reported_timestamp,Reported Timestamp,timestamp,2026-08-09T10:45:00,2026-08-09 10:45,IF-007,Intelligence,inherited,true,true
OBJ-015,reported_position,Reported Position,geohash,wy7ht349,"합성좌표 35.953,128.203",IF-007,Intelligence,inherited,false,true
OBJ-016,normalized_confidence,Normalized Confidence,Normalized Confidence,4,높음(4/5),IF-007,Intelligence,inherited,false,true
OBJ-016,reported_timestamp,Reported Timestamp,timestamp,2026-08-09T10:52:00,2026-08-09 10:52,IF-007,Intelligence,inherited,true,true
OBJ-016,reported_position,Reported Position,geohash,wydqt80j,"합성좌표 37.706,127.156",IF-007,Intelligence,inherited,false,true
OBJ-017,normalized_confidence,Normalized Confidence,Normalized Confidence,4,높음(4/5),IF-007,Intelligence,inherited,false,true
OBJ-017,reported_timestamp,Reported Timestamp,timestamp,2026-08-09T10:59:00,2026-08-09 10:59,IF-007,Intelligence,inherited,true,true
OBJ-017,reported_position,Reported Position,geohash,wydq733t,"합성좌표 37.669,127.059",IF-007,Intelligence,inherited,false,true
OBJ-017,intelligence_ellipse_geometry,Intelligence Ellipse Geometry,geoshape,"POLYGON((127.05100 37.66100,127.06700 37.66100,127.06700 37.67700,127.05100 37.67700,127.05100 37.66100))",합성 위치 오차영역,IF-012,OPIR,direct,false,true
OBJ-017,semi_major_axis_meters,Semi-Major Axis (meters),double,130.0,130m,IF-012,OPIR,direct,false,true
OBJ-017,semi_minor_axis_meters,Semi-Minor Axis (meters),double,65.0,65m,IF-012,OPIR,direct,false,true
OBJ-017,activity_type,Activity Type,string,열원 이동 징후,열원 이동 징후,IF-012,OPIR,direct,false,true
OBJ-018,normalized_confidence,Normalized Confidence,Normalized Confidence,4,높음(4/5),IF-007,Intelligence,inherited,false,true
OBJ-018,reported_timestamp,Reported Timestamp,timestamp,2026-08-09T11:06:00,2026-08-09 11:06,IF-007,Intelligence,inherited,true,true
OBJ-018,reported_position,Reported Position,geohash,wydmz5rt,"합성좌표 37.592,127.232",IF-007,Intelligence,inherited,false,true
OBJ-018,image_media_url,Image Media URL,string,https://example.invalid/synthetic/obj-018.jpg,합성 영상 OBJ-018,IF-013,IMINT,direct,true,true
OBJ-018,image_media_reference,Image Media Reference,media reference,media://synthetic/obj-018,합성 미디어 참조 OBJ-018,IF-013,IMINT,direct,true,true
OBJ-019,normalized_confidence,Normalized Confidence,Normalized Confidence,3,중간(3/5),IF-007,Intelligence,inherited,false,true
OBJ-019,reported_timestamp,Reported Timestamp,timestamp,2026-08-09T11:13:00,2026-08-09 11:13,IF-007,Intelligence,inherited,true,true
OBJ-019,reported_position,Reported Position,geohash,wydmk9f2,"합성좌표 37.495,127.115",IF-007,Intelligence,inherited,false,true
OBJ-019,image_media_url,Image Media URL,string,https://example.invalid/synthetic/obj-019.jpg,합성 영상 OBJ-019,IF-013,IMINT,direct,true,true
OBJ-019,image_media_reference,Image Media Reference,media reference,media://synthetic/obj-019,합성 미디어 참조 OBJ-019,IF-013,IMINT,direct,true,true
OBJ-020,normalized_confidence,Normalized Confidence,Normalized Confidence,4,높음(4/5),IF-007,Intelligence,inherited,false,true
OBJ-020,reported_timestamp,Reported Timestamp,timestamp,2026-08-09T11:20:00,2026-08-09 11:20,IF-007,Intelligence,inherited,true,true
OBJ-020,reported_position,Reported Position,geohash,wyd6qcv6,"합성좌표 36.968,127.218",IF-007,Intelligence,inherited,false,true
OBJ-020,intelligence_ellipse_geometry,Intelligence Ellipse Geometry,geoshape,"POLYGON((127.21000 36.96000,127.22600 36.96000,127.22600 36.97600,127.21000 36.97600,127.21000 36.96000))",합성 위치 오차영역,IF-014,MTI,direct,false,true
OBJ-020,semi_major_axis_meters,Semi-Major Axis (meters),double,130.0,130m,IF-014,MTI,direct,false,true
OBJ-020,semi_minor_axis_meters,Semi-Minor Axis (meters),double,65.0,65m,IF-014,MTI,direct,false,true
OBJ-021,normalized_confidence,Normalized Confidence,Normalized Confidence,4,높음(4/5),IF-007,Intelligence,inherited,false,true
OBJ-021,reported_timestamp,Reported Timestamp,timestamp,2026-08-09T11:27:00,2026-08-09 11:27,IF-007,Intelligence,inherited,true,true
OBJ-021,reported_position,Reported Position,geohash,wyd80yc4,"합성좌표 36.600,127.300",IF-007,Intelligence,inherited,false,true
OBJ-021,intelligence_ellipse_geometry,Intelligence Ellipse Geometry,geoshape,"POLYGON((127.29200 36.59200,127.30800 36.59200,127.30800 36.60800,127.29200 36.60800,127.29200 36.59200))",합성 위치 오차영역,IF-015,SIGINT,direct,true,true
OBJ-021,frequency_mhz,Frequency (MHz),double,425.0,425.0 MHz,IF-015,SIGINT,direct,true,true
OBJ-021,semi_major_axis_meters,Semi-Major Axis (meters),double,130.0,130m,IF-015,SIGINT,direct,true,true
OBJ-021,semi_minor_axis_meters,Semi-Minor Axis (meters),double,65.0,65m,IF-015,SIGINT,direct,true,true
OBJ-021,axis_orientation_degrees,Axis Orientation (degrees),double,40.0,40.0도,IF-015,SIGINT,direct,true,true
OBJ-022,normalized_confidence,Normalized Confidence,Normalized Confidence,3,중간(3/5),IF-007,Intelligence,inherited,false,true
OBJ-022,reported_timestamp,Reported Timestamp,timestamp,2026-08-09T11:34:00,2026-08-09 11:34,IF-007,Intelligence,inherited,true,true
OBJ-022,reported_position,Reported Position,geohash,wy6wu3b7,"합성좌표 36.353,127.453",IF-007,Intelligence,inherited,false,true
OBJ-022,intelligence_ellipse_geometry,Intelligence Ellipse Geometry,geoshape,"POLYGON((127.44500 36.34500,127.46100 36.34500,127.46100 36.36100,127.44500 36.36100,127.44500 36.34500))",합성 위치 오차영역,IF-015,SIGINT,direct,true,true
OBJ-022,frequency_mhz,Frequency (MHz),double,430.0,430.0 MHz,IF-015,SIGINT,direct,true,true
OBJ-022,semi_major_axis_meters,Semi-Major Axis (meters),double,140.0,140m,IF-015,SIGINT,direct,true,true
OBJ-022,semi_minor_axis_meters,Semi-Minor Axis (meters),double,70.0,70m,IF-015,SIGINT,direct,true,true
OBJ-022,axis_orientation_degrees,Axis Orientation (degrees),double,45.0,45.0도,IF-015,SIGINT,direct,true,true
OBJ-023,normalized_confidence,Normalized Confidence,Normalized Confidence,4,높음(4/5),IF-007,Intelligence,inherited,false,true
OBJ-023,reported_timestamp,Reported Timestamp,timestamp,2026-08-09T11:41:00,2026-08-09 11:41,IF-007,Intelligence,inherited,true,true
OBJ-023,reported_position,Reported Position,geohash,wy7ht3sf,"합성좌표 35.956,128.206",IF-007,Intelligence,inherited,false,true
OBJ-023,intelligence_ellipse_geometry,Intelligence Ellipse Geometry,geoshape,"POLYGON((128.19800 35.94800,128.21400 35.94800,128.21400 35.96400,128.19800 35.96400,128.19800 35.94800))",합성 위치 오차영역,IF-015,SIGINT,inherited,true,true
OBJ-023,frequency_mhz,Frequency (MHz),double,425.0,425.0 MHz,IF-015,SIGINT,inherited,true,true
OBJ-023,semi_major_axis_meters,Semi-Major Axis (meters),double,130.0,130m,IF-015,SIGINT,inherited,true,true
OBJ-023,semi_minor_axis_meters,Semi-Minor Axis (meters),double,65.0,65m,IF-015,SIGINT,inherited,true,true
OBJ-023,axis_orientation_degrees,Axis Orientation (degrees),double,40.0,40.0도,IF-015,SIGINT,inherited,true,true
OBJ-023,elnot,ELNOT,string,EL-SYN-023,합성 ELNOT 023,IF-016,ELINT,direct,true,true
OBJ-024,normalized_confidence,Normalized Confidence,Normalized Confidence,4,높음(4/5),IF-007,Intelligence,inherited,false,true
OBJ-024,reported_timestamp,Reported Timestamp,timestamp,2026-08-09T11:48:00,2026-08-09 11:48,IF-007,Intelligence,inherited,true,true
OBJ-024,reported_position,Reported Position,geohash,wydqt8dq,"합성좌표 37.709,127.159",IF-007,Intelligence,inherited,false,true
OBJ-024,intelligence_ellipse_geometry,Intelligence Ellipse Geometry,geoshape,"POLYGON((127.15100 37.70100,127.16700 37.70100,127.16700 37.71700,127.15100 37.71700,127.15100 37.70100))",합성 위치 오차영역,IF-015,SIGINT,inherited,true,true
OBJ-024,frequency_mhz,Frequency (MHz),double,425.0,425.0 MHz,IF-015,SIGINT,inherited,true,true
OBJ-024,semi_major_axis_meters,Semi-Major Axis (meters),double,130.0,130m,IF-015,SIGINT,inherited,true,true
OBJ-024,semi_minor_axis_meters,Semi-Minor Axis (meters),double,65.0,65m,IF-015,SIGINT,inherited,true,true
OBJ-024,axis_orientation_degrees,Axis Orientation (degrees),double,40.0,40.0도,IF-015,SIGINT,inherited,true,true
OBJ-024,cenot,CENOT,string,CE-SYN-024,합성 CENOT 024,IF-017,COMINT,direct,true,true
OBJ-025,timestamp,Timestamp,timestamp,2026-08-09T11:55:00,2026-08-09 11:55,IF-002,Report,inherited,true,true
OBJ-025,media_reference,Media Reference,media reference,media://synthetic/obj-025,합성 미디어 참조 OBJ-025,IF-018,Intelligence Report,direct,true,true
OBJ-025,report_text,Report Text,string,복합징후 정보보고 IR-101 — 가상 감시구역에서 복합 센서 징후가 확인되어 추가 감시와 정보융합이 필요하다는 합성 보고.,합성 정보보고 본문,IF-018,Intelligence Report,direct,true,true
OBJ-026,timestamp,Timestamp,timestamp,2026-08-09T12:02:00,2026-08-09 12:02,IF-002,Report,inherited,true,true
OBJ-026,media_reference,Media Reference,media reference,media://synthetic/obj-026,합성 미디어 참조 OBJ-026,IF-018,Intelligence Report,direct,true,true
OBJ-026,report_text,Report Text,string,전자신호 동향 정보보고 IR-102 — 가상 감시구역에서 복합 센서 징후가 확인되어 추가 감시와 정보융합이 필요하다는 합성 보고.,합성 정보보고 본문,IF-018,Intelligence Report,direct,true,true
OBJ-027,scheduled_start_time,Scheduled Start Time,timestamp,2026-08-09T12:09:00,2026-08-09 12:09,IF-019,Operation,direct,true,true
OBJ-027,scheduled_end_time,Scheduled End Time,timestamp,2026-08-09T16:09:00,2026-08-09 16:09,IF-019,Operation,direct,true,true
OBJ-027,actual_start_time,Actual Start Time,timestamp,2026-08-09T12:14:00,2026-08-09 12:14,IF-019,Operation,direct,false,true
OBJ-027,actual_end_time,Actual End Time,timestamp,2026-08-09T15:54:00,2026-08-09 15:54,IF-019,Operation,direct,false,true
OBJ-028,scheduled_start_time,Scheduled Start Time,timestamp,2026-08-09T12:16:00,2026-08-09 12:16,IF-019,Operation,direct,true,true
OBJ-028,scheduled_end_time,Scheduled End Time,timestamp,2026-08-09T16:16:00,2026-08-09 16:16,IF-019,Operation,direct,true,true
OBJ-028,actual_start_time,Actual Start Time,timestamp,2026-08-09T12:21:00,2026-08-09 12:21,IF-019,Operation,direct,false,true
OBJ-028,actual_end_time,Actual End Time,timestamp,2026-08-09T16:01:00,2026-08-09 16:01,IF-019,Operation,direct,false,true
OBJ-031,valid_from,Valid From,date,2026-08-12,2026-08-12,IF-021,Organization Hierarchy Node Relationship,direct,false,true
OBJ-031,valid_to,Valid To,date,2026-09-11,2026-09-11,IF-021,Organization Hierarchy Node Relationship,direct,false,true
OBJ-032,relationship_type,Relationship Type,string,OPCON,작전통제(OPCON),IF-022,Organization Hierarchy Node Relationship Type,direct,true,true
OBJ-032,definition,Definition,string,가상 조직의 지휘·통제 관계를 표현하는 합성 정의.,가상 조직관계 정의,IF-022,Organization Hierarchy Node Relationship Type,direct,true,true
OBJ-033,valid_from,Valid From,date,2026-08-14,2026-08-14,IF-023,Organization Hierarchy,direct,false,true
OBJ-033,valid_to,Valid To,date,2026-09-13,2026-09-13,IF-023,Organization Hierarchy,direct,false,true
OBJ-034,unit_identifier,Unit Identifier,string,KOR-SYN-U-034,합성 부대식별자 U-034,IF-024,Unit,direct,false,true
OBJ-034,military_service,Military Service,Military Service,ARMY,육군,IF-024,Unit,direct,false,true
OBJ-034,echelon,Echelon,Unit Echelon,COMPANY,중대,IF-024,Unit,direct,false,true
OBJ-034,sidc,SIDC,string,SYNTH-SIDC-034,합성 군사심볼 코드 034,IF-024,Unit,direct,false,true
OBJ-034,affiliation,Affiliation,MIL2525 Affiliation,FRIEND,아군,IF-024,Unit,direct,false,true
OBJ-034,allegiance,Allegiance,string,KOR-SYN,대한민국(합성),IF-024,Unit,direct,false,true
OBJ-035,unit_identifier,Unit Identifier,string,KOR-SYN-U-035,합성 부대식별자 U-035,IF-024,Unit,direct,false,true
OBJ-035,military_service,Military Service,Military Service,ARMY,육군,IF-024,Unit,direct,false,true
OBJ-035,echelon,Echelon,Unit Echelon,PLATOON,소대,IF-024,Unit,direct,false,true
OBJ-035,sidc,SIDC,string,SYNTH-SIDC-035,합성 군사심볼 코드 035,IF-024,Unit,direct,false,true
OBJ-035,affiliation,Affiliation,MIL2525 Affiliation,FRIEND,아군,IF-024,Unit,direct,false,true
OBJ-035,allegiance,Allegiance,string,KOR-SYN,대한민국(합성),IF-024,Unit,direct,false,true
OBJ-036,unit_identifier,Unit Identifier,string,KOR-SYN-U-036,합성 부대식별자 U-036,IF-024,Unit,direct,false,true
OBJ-036,military_service,Military Service,Military Service,ARMY,육군,IF-024,Unit,direct,false,true
OBJ-036,echelon,Echelon,Unit Echelon,COMPANY,중대,IF-024,Unit,direct,false,true
OBJ-036,sidc,SIDC,string,SYNTH-SIDC-036,합성 군사심볼 코드 036,IF-024,Unit,direct,false,true
OBJ-036,affiliation,Affiliation,MIL2525 Affiliation,FRIEND,아군,IF-024,Unit,direct,false,true
OBJ-036,allegiance,Allegiance,string,KOR-SYN,대한민국(합성),IF-024,Unit,direct,false,true
OBJ-037,valid_from,Valid From,date,2026-08-18,2026-08-18,IF-025,Unit Hierarchy Node Relationship,direct,true,true
OBJ-037,valid_to,Valid To,date,2026-09-17,2026-09-17,IF-025,Unit Hierarchy Node Relationship,direct,true,true
OBJ-038,relationship_type,Relationship Type,string,ATTACHED,배속(Attached),IF-026,Unit Hierarchy Node Relationship Type,direct,true,true
OBJ-038,definition,Definition,string,특정 임무 기간 동안 예하 부대를 배속하는 가상 관계유형.,가상 부대 배속관계 정의,IF-026,Unit Hierarchy Node Relationship Type,direct,true,true
OBJ-039,valid_from,Valid From,date,2026-08-20,2026-08-20,IF-027,Unit Hierarchy,direct,false,true
OBJ-039,valid_to,Valid To,date,2026-09-19,2026-09-19,IF-027,Unit Hierarchy,direct,false,true
OBJ-040,unit_type,Unit Type,string,감시정찰부대,감시·정찰 부대,IF-028,Unit Type,direct,true,true
OBJ-040,abbreviated_unit_type,Abbreviated Unit Type,string,감시정찰,감시정찰,IF-028,Unit Type,direct,true,true
OBJ-040,definition,Definition,string,특정 임무 기간 동안 예하 부대를 배속하는 가상 관계유형.,가상 부대 배속관계 정의,IF-028,Unit Type,direct,true,true
OBJ-041,materiel_type_identifier,Materiel Type Identifier,string,SYN-MAT-041,합성 물자유형 041,IF-029,Materiel Type,direct,false,true
OBJ-041,nomenclature,Nomenclature,string,감시드론 배터리 팩,감시드론 배터리 팩,IF-029,Materiel Type,direct,true,true
OBJ-042,materiel_type_identifier,Materiel Type Identifier,string,SYN-MAT-042,합성 물자유형 042,IF-029,Materiel Type,direct,false,true
OBJ-042,nomenclature,Nomenclature,string,전술통신 배터리 팩,전술통신 배터리 팩,IF-029,Materiel Type,direct,true,true
OBJ-043,materiel_type_identifier,Materiel Type Identifier,string,SYN-MAT-043,합성 물자유형 043,IF-029,Materiel Type,inherited,false,true
OBJ-043,nomenclature,Nomenclature,string,훈련용 모의탄 A형,훈련용 모의탄 A형,IF-029,Materiel Type,inherited,true,true
OBJ-044,materiel_type_identifier,Materiel Type Identifier,string,SYN-MAT-044,합성 물자유형 044,IF-029,Materiel Type,inherited,false,true
OBJ-044,nomenclature,Nomenclature,string,훈련용 모의탄 B형,훈련용 모의탄 B형,IF-029,Materiel Type,inherited,true,true
OBJ-045,materiel_type_identifier,Materiel Type Identifier,string,SYN-MAT-045,합성 물자유형 045,IF-029,Materiel Type,inherited,false,true
OBJ-045,nomenclature,Nomenclature,string,소형 정찰드론 A형,소형 정찰드론 A형,IF-029,Materiel Type,inherited,true,true
OBJ-046,materiel_type_identifier,Materiel Type Identifier,string,SYN-MAT-046,합성 물자유형 046,IF-029,Materiel Type,inherited,false,true
OBJ-046,nomenclature,Nomenclature,string,지상 감시레이더 B형,지상 감시레이더 B형,IF-029,Materiel Type,inherited,true,true
OBJ-047,be_number,BE Number,string,SYN-BE-0047,합성 시설번호 0047,IF-032,Facility,direct,false,true
OBJ-047,o_suffix,O-Suffix,string,A,구분자 A,IF-032,Facility,direct,false,true
OBJ-047,location,Location,geohash,wy7hte5r,"합성좌표 35.965,128.215",IF-032,Facility,direct,true,true
OBJ-047,hae_elevation_meters,HAE Elevation (meters),double,128.0,128.0m,IF-032,Facility,direct,false,true
OBJ-047,hae_linear_error_meters,HAE Linear Error (meters),double,3.0,3.0m,IF-032,Facility,direct,false,true
OBJ-047,msl_elevation_meters,MSL Elevation (meters),double,100.0,100.0m,IF-032,Facility,direct,false,true
OBJ-047,msl_linear_error_meters,MSL Linear Error (meters),double,4.0,4.0m,IF-032,Facility,direct,false,true
OBJ-047,affliation,Affliation,MIL2525 Affiliation,FRIEND,아군,IF-032,Facility,direct,true,true
OBJ-047,allegiance,Allegiance,string,KOR-SYN,대한민국(합성),IF-032,Facility,direct,true,true
OBJ-047,operational_status,Operational Status,string,OPERATIONAL,운용 중,IF-032,Facility,direct,true,true
OBJ-047,function,Function,string,감시·정보융합 지원,감시·정보융합 지원,IF-032,Facility,direct,false,true
OBJ-047,sidc,SIDC,string,SYNTH-SIDC-047,합성 군사심볼 코드 047,IF-032,Facility,direct,false,true
OBJ-048,be_number,BE Number,string,SYN-BE-0048,합성 시설번호 0048,IF-032,Facility,direct,false,true
OBJ-048,o_suffix,O-Suffix,string,B,구분자 B,IF-032,Facility,direct,false,true
OBJ-048,location,Location,geohash,wydqtf2g,"합성좌표 37.718,127.168",IF-032,Facility,direct,true,true
OBJ-048,hae_elevation_meters,HAE Elevation (meters),double,131.0,131.0m,IF-032,Facility,direct,false,true
OBJ-048,hae_linear_error_meters,HAE Linear Error (meters),double,3.0,3.0m,IF-032,Facility,direct,false,true
OBJ-048,msl_elevation_meters,MSL Elevation (meters),double,102.0,102.0m,IF-032,Facility,direct,false,true
OBJ-048,msl_linear_error_meters,MSL Linear Error (meters),double,4.0,4.0m,IF-032,Facility,direct,false,true
OBJ-048,affliation,Affliation,MIL2525 Affiliation,FRIEND,아군,IF-032,Facility,direct,true,true
OBJ-048,allegiance,Allegiance,string,KOR-SYN,대한민국(합성),IF-032,Facility,direct,true,true
OBJ-048,operational_status,Operational Status,string,OPERATIONAL,운용 중,IF-032,Facility,direct,true,true
OBJ-048,function,Function,string,감시·정보융합 지원,감시·정보융합 지원,IF-032,Facility,direct,false,true
OBJ-048,sidc,SIDC,string,SYNTH-SIDC-048,합성 군사심볼 코드 048,IF-032,Facility,direct,false,true
OBJ-049,materiel_type_fk,Materiel Type FK,string,OBJ-041,감시드론 배터리 팩 참조,IF-033,Materiel Change Event,direct,true,true
OBJ-049,condition,Condition,string,가용,가용,IF-033,Materiel Change Event,direct,true,true
OBJ-049,quantity,Quantity,integer,15,15개,IF-033,Materiel Change Event,direct,true,true
OBJ-049,organization_fk,Organization FK,string,OBJ-029,가상 제1합동감시단 참조,IF-033,Materiel Change Event,direct,false,true
OBJ-049,named_location_fk,Named Location FK,string,OBJ-007,가상 중부전선 감시구역 A 참조,IF-033,Materiel Change Event,direct,false,true
OBJ-049,source_system_metadata,Source System Metadata,Source System Metadata,"{""system"": ""K-Maven 합성데이터"", ""classification"": ""UNCLASSIFIED"", ""synthetic"": true}",K-Maven 합성데이터 / 비분류,IF-033,Materiel Change Event,direct,true,true
OBJ-049,reported_at,Reported At,timestamp,2026-08-09T14:43:00,2026-08-09 14:43,IF-033,Materiel Change Event,direct,true,true
OBJ-050,materiel_type_fk,Materiel Type FK,string,OBJ-041,감시드론 배터리 팩 참조,IF-034,Materiel Status Event,direct,true,true
OBJ-050,condition,Condition,string,가용,가용,IF-034,Materiel Status Event,direct,true,true
OBJ-050,quantity,Quantity,integer,15,15개,IF-034,Materiel Status Event,direct,true,true
